,DetectedState,DateAnnounced
715,Tamil Nadu,20/04/2020
716,Tamil Nadu,20/04/2020
717,Tamil Nadu,20/04/2020
718,Tamil Nadu,20/04/2020
719,Tamil Nadu,20/04/2020
720,Tamil Nadu,20/04/2020
721,Tamil Nadu,20/04/2020
722,Tamil Nadu,20/04/2020
723,Tamil Nadu,20/04/2020
724,Tamil Nadu,20/04/2020
725,Tamil Nadu,20/04/2020
726,Jharkhand,20/04/2020
727,Punjab,20/04/2020
728,Bihar,20/04/2020
729,Maharashtra,20/04/2020
730,Maharashtra,20/04/2020
731,Maharashtra,20/04/2020
732,Maharashtra,20/04/2020
733,Maharashtra,20/04/2020
734,Maharashtra,20/04/2020
735,Maharashtra,20/04/2020
736,Maharashtra,20/04/2020
737,Maharashtra,20/04/2020
738,Maharashtra,20/04/2020
739,Maharashtra,20/04/2020
740,Maharashtra,20/04/2020
741,Maharashtra,20/04/2020
742,Maharashtra,20/04/2020
743,Maharashtra,20/04/2020
744,Maharashtra,20/04/2020
745,Maharashtra,20/04/2020
746,Maharashtra,20/04/2020
747,Maharashtra,20/04/2020
748,Maharashtra,20/04/2020
749,Maharashtra,20/04/2020
750,Maharashtra,20/04/2020
751,Maharashtra,20/04/2020
752,Maharashtra,20/04/2020
753,Maharashtra,20/04/2020
754,Maharashtra,20/04/2020
755,Maharashtra,20/04/2020
756,Maharashtra,20/04/2020
757,Maharashtra,20/04/2020
758,Maharashtra,20/04/2020
759,Maharashtra,20/04/2020
760,Maharashtra,20/04/2020
761,Maharashtra,20/04/2020
762,Maharashtra,20/04/2020
763,Maharashtra,20/04/2020
764,Maharashtra,20/04/2020
765,Maharashtra,20/04/2020
766,Maharashtra,20/04/2020
767,Maharashtra,20/04/2020
768,Maharashtra,20/04/2020
769,Maharashtra,20/04/2020
770,Maharashtra,20/04/2020
771,Maharashtra,20/04/2020
772,Maharashtra,20/04/2020
773,Maharashtra,20/04/2020
774,Maharashtra,20/04/2020
775,Maharashtra,20/04/2020
776,Maharashtra,20/04/2020
777,Maharashtra,20/04/2020
778,Maharashtra,20/04/2020
779,Maharashtra,20/04/2020
780,Maharashtra,20/04/2020
781,Maharashtra,20/04/2020
782,Maharashtra,20/04/2020
783,Maharashtra,20/04/2020
784,Maharashtra,20/04/2020
785,Maharashtra,20/04/2020
786,Maharashtra,20/04/2020
787,Maharashtra,20/04/2020
788,Maharashtra,20/04/2020
789,Maharashtra,20/04/2020
790,Maharashtra,20/04/2020
791,Maharashtra,20/04/2020
792,Maharashtra,20/04/2020
793,Maharashtra,20/04/2020
794,Maharashtra,20/04/2020
795,Maharashtra,20/04/2020
796,Maharashtra,20/04/2020
797,Maharashtra,20/04/2020
798,Maharashtra,20/04/2020
799,Maharashtra,20/04/2020
800,Maharashtra,20/04/2020
801,Maharashtra,20/04/2020
802,Maharashtra,20/04/2020
803,Maharashtra,20/04/2020
804,Maharashtra,20/04/2020
805,Maharashtra,20/04/2020
806,Maharashtra,20/04/2020
807,Maharashtra,20/04/2020
808,Maharashtra,20/04/2020
809,Maharashtra,20/04/2020
810,Maharashtra,20/04/2020
811,Maharashtra,20/04/2020
812,Maharashtra,20/04/2020
813,Maharashtra,20/04/2020
814,Maharashtra,20/04/2020
815,Maharashtra,20/04/2020
816,Maharashtra,20/04/2020
817,Maharashtra,20/04/2020
818,Maharashtra,20/04/2020
819,Maharashtra,20/04/2020
820,Maharashtra,20/04/2020
821,Maharashtra,20/04/2020
822,Maharashtra,20/04/2020
823,Maharashtra,20/04/2020
824,Maharashtra,20/04/2020
825,Maharashtra,20/04/2020
826,Maharashtra,20/04/2020
827,Maharashtra,20/04/2020
828,Maharashtra,20/04/2020
829,Maharashtra,20/04/2020
830,Maharashtra,20/04/2020
831,Maharashtra,20/04/2020
832,Maharashtra,20/04/2020
833,Maharashtra,20/04/2020
834,Maharashtra,20/04/2020
835,Maharashtra,20/04/2020
836,Maharashtra,20/04/2020
837,Maharashtra,20/04/2020
838,Maharashtra,20/04/2020
839,Maharashtra,20/04/2020
840,Maharashtra,20/04/2020
